Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
75953000,00000122,false,Rx,1,8,0F,10,12,10,0F,10,00,CC,
75955000,00000171,false,Rx,1,8,32,32,32,32,3E,00,00,2E,
75956000,000003C3,false,Rx,0,6,00,0C,FF,FF,FF,E3,00,00,
75957000,000001D3,false,Rx,1,8,22,22,22,22,22,22,29,92,
75959000,00000082,false,Rx,1,8,C7,10,00,50,00,00,30,24,
75959002,00000172,false,Rx,1,8,31,32,31,32,3D,00,00,54,
75961001,000001D2,false,Rx,1,8,22,22,22,22,22,22,29,92,
75963000,00000106,false,Rx,1,8,00,00,00,00,00,00,60,88,
75965000,00000113,false,Rx,1,8,11,00,00,00,00,00,00,00,
75966000,000003C3,false,Rx,0,6,00,0D,FF,FF,FF,F0,00,00,
75967000,00000133,false,Rx,1,8,15,10,EC,0F,16,10,00,35,
75969001,00000153,false,Rx,1,8,1A,10,16,10,13,10,00,D9,
75971000,000001C0,false,Rx,1,8,22,22,22,22,25,22,42,22,
75972001,00000083,false,Rx,1,8,C7,10,00,50,00,00,30,41,
75973000,00000102,false,Rx,1,8,00,00,00,00,00,00,60,01,
75975000,00000103,false,Rx,1,8,00,00,00,00,00,00,60,64,
75976000,000003C3,false,Rx,0,6,00,0E,FF,FF,FF,E8,00,00,
75977000,00000101,false,Rx,1,8,00,00,00,00,00,00,60,AE,
75979000,000001C6,false,Rx,1,8,22,22,22,22,25,22,42,22,
75981000,000001C7,false,Rx,1,8,22,22,22,22,25,22,42,22,
75983000,000001C5,false,Rx,1,8,22,22,22,22,25,22,42,22,
75985000,00000084,false,Rx,1,8,C7,10,00,50,00,00,30,67,
75985002,00000173,false,Rx,1,8,32,32,32,32,3F,00,00,6B,
75986000,000003C3,false,Rx,0,6,00,0F,FF,FF,FF,F4,00,00,
75987000,00000115,false,Rx,1,8,11,00,00,00,00,00,00,00,
75989000,000001C2,false,Rx,1,8,22,22,22,22,25,22,42,22,
75989001,00000437,false,Rx,2,8,01,00,00,00,6C,02,09,97,
75991000,000001C3,false,Rx,1,8,22,22,22,22,25,22,42,22,
75993000,000001C1,false,Rx,1,8,22,22,22,22,25,22,42,22,
75995000,00000125,false,Rx,1,8,19,10,1E,10,1A,10,00,D3,
75996000,000003C3,false,Rx,0,6,00,00,FF,FF,FF,FA,00,00,
75997000,00000135,false,Rx,1,8,18,10,10,10,18,10,00,85,
75998001,00000085,false,Rx,1,8,C7,10,00,50,00,00,30,02,
75999000,00000116,false,Rx,1,8,11,00,00,00,00,00,00,00,
76001000,000003D2,false,Rx,0,6,04,08,00,00,00,69,00,00,
76001001,00000145,false,Rx,1,8,1A,10,1A,10,16,10,00,CF,
76001010,0000041A,false,Rx,2,8,7E,0D,87,13,CB,CE,01,0C,
76001018,0000041B,false,Rx,2,8,31,32,00,05,2F,75,01,EA,
76001019,0000041C,false,Rx,2,8,F4,01,00,00,07,18,01,20,
76001020,0000041D,false,Rx,2,8,45,25,10,27,00,02,01,EC,
76001021,0000041E,false,Rx,2,8,00,00,00,00,02,6C,01,21,
76003000,00000100,false,Rx,1,8,00,00,00,00,00,00,40,4C,
76005000,00000155,false,Rx,1,8,19,10,18,10,09,10,00,7C,
76006000,000003C3,false,Rx,0,6,00,01,FF,FF,FF,FB,00,00,
76007000,00000175,false,Rx,1,8,31,31,31,31,3C,00,00,8D,
76009000,00000126,false,Rx,1,8,11,10,17,10,12,10,00,BF,
76011000,00000136,false,Rx,1,8,10,10,12,10,0C,10,00,32,
76011004,00000086,false,Rx,1,8,C7,10,00,50,00,00,30,AD,
76013000,00000156,false,Rx,1,8,0E,10,14,10,16,10,00,B8,
76015000,00000176,false,Rx,1,8,32,32,32,32,3D,00,00,84,
76016000,000003C3,false,Rx,0,6,00,02,FF,FF,FF,F1,00,00,
76017000,00000127,false,Rx,1,8,F8,0F,F8,0F,F4,0F,00,5A,
76019001,00000147,false,Rx,1,8,F4,0F,F2,0F,F7,0F,00,8A,
76021001,00000167,false,Rx,1,8,77,BF,00,00,00,00,00,E2,
76023000,00000105,false,Rx,1,8,00,00,00,00,00,00,70,EA,
76024000,00000087,false,Rx,1,8,C7,10,00,50,00,00,30,C8,
76025000,00000103,false,Rx,1,8,00,00,00,00,00,00,70,A9,
76026000,000003C3,false,Rx,0,6,00,03,00,00,00,05,00,00,
76027000,00000101,false,Rx,1,8,00,00,00,00,00,00,70,63,
76029000,00000110,false,Rx,1,8,11,00,00,00,00,00,00,00,
76031000,00000120,false,Rx,1,8,15,10,1A,10,1A,10,20,B6,
76033000,00000140,false,Rx,1,8,17,10,17,10,18,10,20,E3,
76035000,00000160,false,Rx,1,8,31,C1,00,00,00,00,20,A1,
76036000,000003C3,false,Rx,0,6,00,04,FF,FF,FF,F8,00,00,
76037000,00000177,false,Rx,1,8,31,32,31,31,40,00,00,CF,
76037004,00000080,false,Rx,1,8,C7,10,00,50,00,00,40,B7,
76039000,00000111,false,Rx,1,8,11,00,00,00,00,00,00,00,
76041000,00000121,false,Rx,1,8,18,10,1C,10,16,10,10,14,
76043000,00000131,false,Rx,1,8,18,10,13,10,13,10,10,FF,
76045000,00000141,false,Rx,1,8,16,10,19,10,15,10,10,02,
76046000,000003C3,false,Rx,0,6,00,05,FF,FF,FF,EA,00,00,
76047000,00000170,false,Rx,1,8,32,32,32,32,42,00,20,8E,
76049000,00000151,false,Rx,1,8,17,10,19,10,13,10,10,44,
76050000,00000081,false,Rx,1,8,C7,10,00,50,00,00,40,D2,
76051000,00000161,false,Rx,1,8,32,C1,00,00,00,00,10,69,
76053001,00000171,false,Rx,1,8,32,32,32,32,3E,00,10,E3,
76055000,00000112,false,Rx,1,8,11,00,00,00,00,00,00,00,
76056000,000003C3,false,Rx,0,6,00,06,FF,FF,FF,F1,00,00,
76057000,00000122,false,Rx,1,8,0F,10,14,10,0F,10,10,60,
76059000,00000152,false,Rx,1,8,0B,10,0F,10,13,10,10,66,
76061001,00000100,false,Rx,1,8,00,00,00,00,00,00,50,81,
76063000,00000113,false,Rx,1,8,11,00,00,00,00,00,00,00,
76063002,00000082,false,Rx,1,8,C7,10,00,50,00,00,40,7D,
76065000,00000123,false,Rx,1,8,14,10,13,10,16,10,10,19,
76066000,000003C3,false,Rx,0,6,00,07,FF,FF,FF,EA,00,00,
76067000,00000106,false,Rx,1,8,00,00,00,00,00,00,80,3A,
76069000,00000107,false,Rx,1,8,00,00,00,00,00,00,80,5F,
76071000,00000133,false,Rx,1,8,15,10,EC,0F,16,10,10,F8,
76073000,00000105,false,Rx,1,8,00,00,00,00,00,00,80,95,
76075000,00000102,false,Rx,1,8,00,00,00,00,00,00,80,B3,
76076000,000003C3,false,Rx,0,6,00,08,FF,FF,FF,FA,00,00,
76076001,00000083,false,Rx,1,8,C7,10,00,50,00,00,40,18,
76077000,00000103,false,Rx,1,8,00,00,00,00,00,00,80,D6,
76079000,00000101,false,Rx,1,8,00,00,00,00,00,00,80,1C,
76081001,00000173,false,Rx,1,8,32,32,32,32,40,00,10,68,
76083000,00000115,false,Rx,1,8,11,00,00,00,00,00,00,00,
76085000,00000125,false,Rx,1,8,19,10,1E,10,1A,10,10,1E,
76086000,000003C3,false,Rx,0,6,00,09,FF,FF,FF,FA,00,00,
76087000,00000135,false,Rx,1,8,18,10,10,10,16,10,10,41,
76089000,00000145,false,Rx,1,8,1A,10,1B,10,16,10,10,68,
76089003,00000084,false,Rx,1,8,C7,10,00,50,00,00,40,3E,
76089004,000003D8,false,Rx,2,3,91,02,00,00,00,00,00,00,
76091000,00000437,false,Rx,2,8,01,00,00,00,6C,02,0A,1E,
76091002,00000155,false,Rx,1,8,19,10,18,10,09,10,10,B1,
76093000,00000116,false,Rx,1,8,11,00,00,00,00,00,00,00,
76095000,00000165,false,Rx,1,8,1F,C1,00,00,00,00,10,69,
76096000,000003C3,false,Rx,0,6,00,0A,FF,FF,FF,EF,00,00,
